  2450728.86524   13.553    0.013
  2450729.84812   13.648    0.007
  2450739.83281   13.479    0.010
  2450742.84513   13.630    0.017
  2450744.81797   13.817    0.017
  2450745.82752   13.914    0.017
  2450748.66235   13.808    0.007
  2450751.77314   13.492    0.007
  2450752.83451   13.495    0.008
  2450759.74328   13.964    0.011
  2450760.79777   13.849    0.017
  2450762.81848   13.781    0.007
  2450769.83088   13.764    0.015
  2450773.81829   13.829    0.007
  2450776.84431   13.481    0.014
  2450779.78520   13.548    0.010
  2450781.80178   13.678    0.007
  2450788.81264   13.602    0.015
  2450790.82742   13.488    0.017
  2450795.78414   13.809    0.007
  2450798.77942   13.864    0.015
  2450816.83507   13.503    0.014
  2450817.77754   13.513    0.011
  2450824.72493   13.799    0.011
  2450828.72710   13.500    0.008
  2450831.61668   13.612    0.006
  2450832.73952   13.717    0.017
  2450835.69255   13.953    0.010
  2450836.66140   13.907    0.017
  2450837.64290   13.805    0.014
  2450838.77056   13.812    0.007
  2450839.64155   13.622    0.008
  2450840.76197   13.476    0.008
  2450842.67405   13.514    0.008
  2450845.64688   13.702    0.017
  2450850.71791   13.801    0.010
  2450854.75536   13.478    0.008
  2450855.73996   13.515    0.011
  2450856.64732   13.590    0.011
  2450857.70561   13.624    0.008
  2450859.73535   13.862    0.011
  2450860.67654   13.950    0.014
  2450867.59967   13.492    0.008
  2450874.71118   13.919    0.010
  2450876.58035   13.809    0.017
  2450876.68054   13.803    0.010
  2450880.60399   13.510    0.013
  2450890.67258   13.559    0.008
  2450892.56614   13.472    0.014
  2450895.60949   13.648    0.011
  2450933.53088   13.625    0.010
  2451078.81146   13.858    0.017
  2451080.86570   13.779    0.013
  2451081.81508   13.494    0.017
  2451090.80209   13.944    0.015
  2451091.86026   13.827    0.011
  2451113.86040   13.813    0.013
  2451116.80464   13.872    0.017
  2451126.70639   13.836    0.015
  2451129.80513   13.835    0.017
  2451131.80980   13.763    0.010
  2451132.80166   13.492    0.010
  2451142.75204   13.807    0.017
  2451153.71831   13.953    0.017
  2451163.80128   13.733    0.011
  2451167.73618   13.882    0.011
  2451168.74718   13.804    0.010
  2451171.71503   13.479    0.011
  2451174.84286   13.598    0.010
  2451183.75992   13.488    0.015
  2451185.80884   13.509    0.013
  2451187.76209   13.590    0.017
  2451191.81536   13.953    0.011
  2451192.84613   13.907    0.011
  2451194.66563   13.817    0.010
  2451196.68249   13.479    0.006
  2451202.68787   13.791    0.015
  2451207.68079   13.821    0.010
  2451213.72261   13.651    0.015
  2451215.55664   13.834    0.010
  2451216.62470   13.919    0.015
  2451217.69231   13.954    0.015
  2451219.62952   13.833    0.014
  2451223.69035   13.503    0.008
  2451226.57826   13.645    0.010
  2451227.58532   13.747    0.006
  2451232.67489   13.812    0.017
  2451235.57608   13.485    0.010
  2451238.66201   13.605    0.007
  2451241.56224   13.859    0.013
  2451242.63560   13.939    0.017
  2451245.54791   13.814    0.007
  2451247.68230   13.472    0.014
  2451248.65003   13.488    0.010
