ID_OGLE,RAJ2000.0,DECJ2000.0,Survey,Band,N_epoch,JD,mag,errmag
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2166.83748,14.353,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2172.88623,14.561,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2189.84343,14.365,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2212.79165,14.377,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2217.77657,14.492,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2223.79686,14.345,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2226.77167,14.303,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2228.81518,14.462,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2230.72832,14.265,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2232.74882,14.475,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2234.74264,14.286,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2238.6934,14.307,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2240.82234,14.518,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2242.82814,14.357,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2249.76134,14.261,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2251.79384,14.478,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2253.75428,14.291,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2256.72961,14.557,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2258.67093,14.419,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2261.65657,14.334,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2265.7586,14.372,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2271.70452,14.552,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2273.67123,14.397,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2275.77768,14.535,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2277.77244,14.428,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2279.7775,14.422,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2281.7914,14.453,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2283.79454,14.271,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2289.72371,14.624,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2291.73116,14.491,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2293.70325,14.861,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2295.73002,14.615,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2297.72087,14.782,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2299.74326,14.468,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2302.59445,14.396,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2304.72654,14.464,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2317.64009,14.497,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2323.54234,14.438,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2326.55999,14.366,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2338.52768,14.432,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2344.52051,14.282,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2354.52229,14.495,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2368.50633,14.396,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2401.50848,14.276,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2520.91714,14.44,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2521.89652,14.524,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2537.84983,14.518,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2539.8239,14.435,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2542.81624,14.351,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2545.79791,14.278,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2551.86336,14.485,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2555.8874,14.499,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2559.79629,14.522,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2563.84651,14.534,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2573.77444,14.422,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2577.83528,14.441,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2580.86474,14.362,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2589.77257,14.484,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2594.78968,14.53,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2599.83307,14.506,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2609.64554,14.702,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2617.80153,14.364,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2620.76956,14.542,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2623.71394,14.469,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2627.61011,14.484,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2629.63417,14.286,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2631.68345,14.501,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2634.67835,14.426,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2637.70436,14.345,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2639.81916,14.546,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2641.64179,14.369,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2643.65282,14.543,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2645.64554,14.388,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2646.67298,14.48,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2650.73012,14.51,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2652.72025,14.331,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2654.82401,14.525,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2657.7425,14.449,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2659.70755,14.274,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2661.80725,14.463,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2665.77723,14.491,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2667.81113,14.328,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2671.723,14.341,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2673.68642,14.52,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2675.71335,14.353,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2677.74802,14.538,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2679.73873,14.386,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2681.75607,14.562,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2686.56479,14.293,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2690.64303,14.335,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2695.57361,14.447,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2700.5247,14.549,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2712.55909,14.499,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2735.48926,14.489,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2884.85213,14.382,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2890.81992,14.555,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2895.85556,14.342,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2900.81121,14.454,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2906.84218,14.316,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2910.87563,14.53,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2915.87181,14.775,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2921.87412,14.281,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2925.81959,14.293,0.005
OGLE-LMC-CEP-0289,04:53:31.77,-69:16:53.8,OGLE3/OGLE4,I,1050,2929.8642,14.317,0.005
