  2450799.80718   14.736    0.010
  2450822.67763   13.882    0.011
  2450825.82750   14.193    0.010
  2450875.73148   14.396    0.008
  2450894.65615   14.753    0.007
  2451085.82819   14.678    0.008
  2451130.81664   14.331    0.013
  2451156.80182   13.737    0.007
  2451166.73569   14.746    0.007
  2451212.68504   14.542    0.008
  2451222.68900   13.925    0.008
  2451233.70269   14.596    0.008
  2451241.59409   14.192    0.008
  2451259.58492   14.419    0.013
  2451495.81581   14.012    0.008
  2451499.72988   14.449    0.007
  2451499.85160   14.476    0.004
  2451512.78853   14.119    0.008
  2451521.74698   14.629    0.011
  2451524.78310   13.770    0.008
  2451562.66561   14.336    0.010
  2451576.68922   14.107    0.011
  2451583.67934   14.706    0.008
  2451590.65151   13.930    0.010
  2451593.62518   14.221    0.011
  2451596.60035   14.582    0.013
  2451612.67280   14.594    0.008
  2451618.56978   14.009    0.010
  2451621.58435   13.833    0.007
  2451623.60359   14.010    0.010
  2451629.60781   14.703    0.013
